,Average Compile Time (s), Average Execution Time (s)
Stack-Based MINIC,0.5928902149200439,0.11321635246276855
Unoptimized Register-Based MINIC,0.5625010013580323,0.1133817195892334
Optimized Register-Based MINIC,0.5834805965423584,0.11326007843017578
Unoptimized GCC,0.3629417419433594,0.11054058074951172
Optimized GCC,3.6735623359680174,0.11254439353942872
