,Average Compile Time (s), Average Execution Time (s)
Stack-Based MINIC,0.5231492042541503,9.927889585494995
Unoptimized Register-Based MINIC,0.5134474277496338,5.230822944641114
Optimized Register-Based MINIC,0.5238640308380127,5.230872058868409
Unoptimized GCC,0.3329822063446045,9.865753221511842
Optimized GCC,0.4517414093017578,2.836867666244507
