,Average Compile Time (s), Average Execution Time (s)
Stack-Based MINIC,0.5027036666870117,0.879915189743042
Unoptimized Register-Based MINIC,0.48368206024169924,0.8609354019165039
Optimized Register-Based MINIC,0.48213744163513184,0.859297227859497
Unoptimized GCC,0.31236042976379397,0.4237061977386475
Optimized GCC,0.36281895637512207,0.4762871265411377
