,Average Compile Time (s), Average Execution Time (s)
Stack-Based MINIC,0.48264098167419434,19.832052993774415
Unoptimized Register-Based MINIC,0.5031831741333008,13.862866353988647
Optimized Register-Based MINIC,0.482981014251709,13.873186826705933
Unoptimized GCC,0.3128392219543457,15.443465566635131
Optimized GCC,0.37338595390319823,8.964031839370728
