,Average Compile Time (s), Average Execution Time (s)
Stack-Based MINIC,0.6428759574890137,17.92915472984314
Unoptimized Register-Based MINIC,0.7636497497558594,15.354865407943725
Optimized Register-Based MINIC,0.5919611930847168,10.298010873794556
Unoptimized GCC,0.37278099060058595,18.25782322883606
Optimized GCC,0.6125988483428955,0.11353659629821777
