,Average Compile Time (s), Average Execution Time (s)
Stack-Based MINIC,0.5125543117523194,30.982151556015015
Unoptimized Register-Based MINIC,0.5425558090209961,15.089839363098145
Optimized Register-Based MINIC,0.5025291919708252,15.04984359741211
Unoptimized GCC,0.3117645740509033,27.750659227371216
Optimized GCC,0.4123574733734131,0.5259956359863281
