,Average Compile Time (s), Average Execution Time (s)
Stack-Based MINIC,0.5024960041046143,0.8793074131011963
Unoptimized Register-Based MINIC,0.4914103031158447,0.8686755180358887
Optimized Register-Based MINIC,0.4725210189819336,0.849165964126587
Unoptimized GCC,0.3125617504119873,0.4242998123168945
Optimized GCC,0.36151742935180664,0.4751689910888672
