,Average Compile Time (s), Average Execution Time (s)
Stack-Based MINIC,0.5019744396209717,0.11340122222900391
Unoptimized Register-Based MINIC,0.49283924102783205,0.1131770133972168
Optimized Register-Based MINIC,0.5129667758941651,0.11345996856689453
Unoptimized GCC,0.3226515769958496,0.11189117431640624
Optimized GCC,0.3628841876983643,0.11338887214660645
