,Average Compile Time (s), Average Execution Time (s)
Stack-Based MINIC,0.48134574890136717,43.09529299736023
Unoptimized Register-Based MINIC,0.4823280334472656,24.33067560195923
Optimized Register-Based MINIC,0.4817637920379639,24.42896122932434
Unoptimized GCC,0.3120002269744873,37.44420318603515
Optimized GCC,0.39327282905578614,4.514089775085449
