,Average Compile Time (s), Average Execution Time (s)
Stack-Based MINIC,0.6826146125793457,1.0598234176635741
Unoptimized Register-Based MINIC,0.642906904220581,1.0196037769317627
Optimized Register-Based MINIC,0.6321765899658203,1.0055815696716308
Unoptimized GCC,0.36162943840026857,0.47519721984863283
Optimized GCC,0.5237345695495605,0.6344254493713379
