,Average Compile Time (s), Average Execution Time (s)
Stack-Based MINIC,0.5121870040893555,0.8890523910522461
Unoptimized Register-Based MINIC,0.4921595573425293,0.8676544189453125
Optimized Register-Based MINIC,0.4923529624938965,0.8672342777252198
Unoptimized GCC,0.3226029872894287,0.43337559700012207
Optimized GCC,0.36301937103271487,0.476552152633667
