,Average Compile Time (s), Average Execution Time (s)
Stack-Based MINIC,0.5135793685913086,9.994093751907348
Unoptimized Register-Based MINIC,0.511303186416626,4.793368530273438
Optimized Register-Based MINIC,0.5123118400573731,4.784101057052612
Unoptimized GCC,0.33274641036987307,8.425582599639892
Optimized GCC,0.41295204162597654,0.5267143726348877
