,Average Compile Time (s), Average Execution Time (s)
Stack-Based MINIC,0.5139635562896728,0.8903389930725097
Unoptimized Register-Based MINIC,0.47202601432800295,0.8482015609741211
Optimized Register-Based MINIC,0.4815798282623291,0.8562683582305908
Unoptimized GCC,0.3122528553009033,0.4228986263275146
Optimized GCC,0.4129621982574463,0.5265141010284424
