,Average Compile Time (s), Average Execution Time (s)
Stack-Based MINIC,0.552511739730835,0.11255078315734864
Unoptimized Register-Based MINIC,0.5636401653289795,0.11292552947998047
Optimized Register-Based MINIC,0.5521926403045654,0.11328802108764649
Unoptimized GCC,0.3625936985015869,0.11345858573913574
Optimized GCC,0.513336181640625,0.11339330673217773
