,Average Compile Time (s), Average Execution Time (s)
Stack-Based MINIC,0.5231448650360108,2.902818441390991
Unoptimized Register-Based MINIC,0.5217289924621582,2.651217222213745
Optimized Register-Based MINIC,0.5417739391326905,2.401263380050659
Unoptimized GCC,0.31150269508361816,1.7441440582275392
Optimized GCC,0.36195664405822753,0.4829724788665771
